Open,High,Low,Close,Adj Close,Volume,Price Change
3.350714,3.425,3.282143,3.359286,3.359286,26290600,0.008572
3.357143,3.606429,3.325714,3.588571,3.588571,34353200,0.2314279999999997
3.627857,3.628572,3.442857,3.464286,3.464286,23836400,-0.1635710000000001
3.456429,3.532857,3.325,3.340714,3.340714,18921000,-0.1157149999999997
3.310714,3.313571,3.155714,3.19,3.19,31721200,-0.1207139999999999
3.228571,3.4,3.195,3.326429,3.326429,39229400,0.097858
3.328571,3.422857,3.257143,3.317143,3.317143,23123800,-0.0114279999999999
3.179286,3.364286,3.157143,3.254286,3.254286,29468600,0.0750000000000001
3.317857,3.357143,3.23,3.260714,3.260714,22040200,-0.0571429999999999
3.243572,3.357143,3.243572,3.342857,3.342857,13987400,0.099285
3.367857,3.492857,3.354286,3.429286,3.429286,16927400,0.0614289999999999
3.447143,3.525,3.405,3.450714,3.450714,14039200,0.0035709999999999
3.452143,3.507857,3.428571,3.5,3.5,5108600,0.047857
3.53,3.642857,3.513572,3.621428,3.621428,18172000,0.091428
3.603571,3.701429,3.571429,3.635714,3.635714,15824200,0.032143
3.675,3.732857,3.539286,3.555,3.555,18349800,-0.1199999999999996
3.570714,3.617857,3.332857,3.431429,3.431429,28826000,-0.1392850000000001
3.403571,3.462857,3.335,3.390714,3.390714,12567800,-0.0128569999999998
3.375,3.462143,3.256428,3.372143,3.372143,20157200,-0.0028570000000001
3.399286,3.417857,3.236428,3.245714,3.245714,14681800,-0.153572
3.231429,3.378572,3.171429,3.217857,3.217857,25684400,-0.0135719999999999
3.216429,3.39,3.214286,3.388572,3.388572,18060000,0.1721429999999997
3.420714,3.422857,3.302143,3.343571,3.343571,11704000,-0.0771429999999999
3.457143,3.482143,3.211429,3.237143,3.237143,14289800,-0.2199999999999997
3.212143,3.242143,3.120714,3.2,3.2,19339600,-0.012143
3.656429,3.699286,3.596429,3.647857,3.647857,18169200,-0.008572
3.628572,3.732143,3.610714,3.712143,3.712143,18925200,0.083571
